# SNID:                      2024srp                  
# SPECTRUM_ID:               1
# SPECTRUM_MJD:              60529.20
# SPECTRUM_TELESCOPE:        P60
# SPECTRUM_INSTRUMENT:       SEDM
# SPECTRUM_TEXPOSE:          2700.0  
# SPECTRUM_STAT_SNR:         3.79    
# SPECTRUM_SYS_SNR:          60.05   
# SPECTRUM_VEXP:             1.827e-03
# SPECTRUM_NLAM:             214   
# SPECTRUM_INFILE:           2024srp_60529.20_SEDM.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    7970.30  9.08500e-17  2.19294e-17  2.11537e-18
    7995.90  8.73500e-17  2.01668e-17  2.14219e-18
    8021.50  8.43700e-17  2.35669e-17  2.25078e-18
    8047.00  9.31300e-17  2.60519e-17  2.41259e-18
    8072.60  9.50300e-17  2.91015e-17  2.61901e-18
    8098.20  9.10200e-17  2.99182e-17  2.86242e-18
    8123.70  9.51400e-17  2.89845e-17  3.15366e-18
    8149.30  1.06100e-16  2.93206e-17  3.40705e-18
    8174.90  1.10400e-16  2.79446e-17  3.74386e-18
    8200.50  8.72700e-17  2.91805e-17  3.81432e-18
    8226.00  1.22400e-16  3.50143e-17  3.98458e-18
    8251.60  1.24200e-16  3.46699e-17  4.00095e-18
    8277.20  1.37700e-16  3.33916e-17  3.99247e-18
    8302.70  1.12600e-16  2.97825e-17  3.84652e-18
    8328.30  8.94000e-17  2.68291e-17  3.86901e-18
    8353.90  8.96000e-17  2.38558e-17  3.61283e-18
    8379.50  1.10600e-16  2.46232e-17  3.35803e-18
    8405.00  1.24900e-16  2.18792e-17  3.22141e-18
    8430.60  1.15600e-16  2.12321e-17  3.03054e-18
    8456.20  1.18100e-16  2.05232e-17  2.87500e-18
    8481.70  1.10300e-16  2.21856e-17  2.70276e-18
    8507.30  1.04100e-16  2.45845e-17  2.65984e-18
    8532.90  1.12300e-16  2.49419e-17  2.45629e-18
    8558.40  1.27600e-16  2.40021e-17  2.34571e-18
    8584.00  1.26200e-16  2.47164e-17  2.28219e-18
    8609.60  1.13600e-16  2.37550e-17  2.19198e-18
    8635.20  9.38300e-17  1.91364e-17  2.15005e-18
    8660.70  7.46500e-17  2.01668e-17  2.07085e-18
    8686.30  8.41300e-17  1.99023e-17  2.02878e-18
    8711.90  9.32300e-17  2.38076e-17  1.97733e-18
    8737.40  8.82800e-17  3.02010e-17  1.94185e-18
    8763.00  8.29800e-17  2.81780e-17  1.91155e-18
    8788.60  7.15100e-17  2.40250e-17  2.05022e-18
    8814.20  5.88400e-17  2.71790e-17  1.94212e-18
    8839.70  5.54800e-17  2.66064e-17  1.87367e-18
    8865.30  6.79300e-17  2.38914e-17  1.89794e-18
    8890.90  9.07000e-17  2.16056e-17  1.95088e-18
    8916.40  1.04400e-16  2.47245e-17  1.85007e-18
    8942.00  1.21600e-16  2.74317e-17  2.08379e-18
    8967.60  1.25700e-16  2.81123e-17  1.92408e-18
    8993.20  1.25200e-16  2.85727e-17  1.84497e-18
    9018.70  1.28500e-16  2.95212e-17  1.97338e-18
    9044.30  1.39200e-16  3.00583e-17  1.85116e-18
    9069.90  1.37300e-16  2.84833e-17  1.93003e-18
    9095.40  1.24500e-16  3.07067e-17  1.88481e-18
    9121.00  1.22600e-16  2.88687e-17  1.93449e-18
    9146.60  1.20400e-16  3.04335e-17  2.08518e-18
    9172.10  1.16300e-16  3.03134e-17  2.06689e-18
    9197.70  1.11400e-16  3.08026e-17  2.15227e-18
    9223.30  9.29300e-17  3.33467e-17  2.09911e-18
# -------------------------------------- #
