# SNID:                      ZTF18aabstmw             
# SPECTRUM_ID:               1
# SPECTRUM_MJD:              58184.00
# SPECTRUM_TELESCOPE:        P60
# SPECTRUM_INSTRUMENT:       SEDM
# SPECTRUM_TEXPOSE:          1800.0  
# SPECTRUM_STAT_SNR:         -9.00   
# SPECTRUM_SYS_SNR:          200.00  
# SPECTRUM_VEXP:             1.534e-03
# SPECTRUM_NLAM:             208   
# SPECTRUM_INFILE:           ZTF18aabstmw_58184.00_SEDM.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    6173.70  1.34860e-16 -9.90000e+01  6.74300e-19
    6201.10  1.01980e-16 -9.90000e+01  5.09900e-19
    6228.70  9.33480e-17 -9.90000e+01  4.66740e-19
    6256.50  1.08630e-16 -9.90000e+01  5.43150e-19
    6284.50  1.19290e-16 -9.90000e+01  5.96450e-19
    6312.70  1.25550e-16 -9.90000e+01  6.27750e-19
    6341.20  1.46130e-16 -9.90000e+01  7.30650e-19
    6369.80  1.69650e-16 -9.90000e+01  8.48250e-19
    6398.70  1.86420e-16 -9.90000e+01  9.32100e-19
    6427.80  1.91080e-16 -9.90000e+01  9.55400e-19
    6457.10  1.81960e-16 -9.90000e+01  9.09800e-19
    6486.60  1.98070e-16 -9.90000e+01  9.90350e-19
    6516.30  1.96730e-16 -9.90000e+01  9.83650e-19
    6546.20  1.94310e-16 -9.90000e+01  9.71550e-19
    6576.40  1.86460e-16 -9.90000e+01  9.32300e-19
    6606.80  1.77120e-16 -9.90000e+01  8.85600e-19
    6637.40  1.73230e-16 -9.90000e+01  8.66150e-19
    6668.30  1.66110e-16 -9.90000e+01  8.30550e-19
    6699.40  1.70580e-16 -9.90000e+01  8.52900e-19
    6730.70  1.63390e-16 -9.90000e+01  8.16950e-19
    6762.20  1.52460e-16 -9.90000e+01  7.62300e-19
    6794.00  1.56530e-16 -9.90000e+01  7.82650e-19
    6826.00  1.56360e-16 -9.90000e+01  7.81800e-19
    6858.20  1.52090e-16 -9.90000e+01  7.60450e-19
    6890.70  1.38720e-16 -9.90000e+01  6.93600e-19
    6923.40  1.32990e-16 -9.90000e+01  6.64950e-19
    6956.40  1.34310e-16 -9.90000e+01  6.71550e-19
    6989.50  1.28940e-16 -9.90000e+01  6.44700e-19
    7023.00  1.32150e-16 -9.90000e+01  6.60750e-19
    7056.60  1.38980e-16 -9.90000e+01  6.94900e-19
    7090.60  1.42520e-16 -9.90000e+01  7.12600e-19
