# SNID:                      ZTF18aaaooqj             
# SPECTRUM_ID:               2
# SPECTRUM_MJD:              60709.04
# SPECTRUM_TELESCOPE:        LT
# SPECTRUM_INSTRUMENT:       SPRAT
# SPECTRUM_TEXPOSE:          1200.0  
# SPECTRUM_STAT_SNR:         1.90    
# SPECTRUM_SYS_SNR:          11.44   
# SPECTRUM_VEXP:             4.027e-03
# SPECTRUM_NLAM:             891   
# SPECTRUM_OBSERVERS:        Daniel Perley, Jacob Wise, K-Ryan Hinds, Aleksandra Bochenek, Zoe McGrath
# SPECTRUM_INFILE:           ZTF18aaaooqj_60709.04_SPRAT.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    5143.66  9.15470e-01  6.62470e-01  1.17848e-01
    5148.28  1.00798e+00  6.34240e-01  1.17949e-01
    5152.90  9.04200e-01  6.38300e-01  1.18221e-01
    5157.52  9.04030e-01  6.24600e-01  1.18047e-01
    5162.14  9.30480e-01  5.55840e-01  1.17948e-01
    5166.77  8.83910e-01  5.88550e-01  1.20022e-01
    5171.39  9.94760e-01  5.38780e-01  1.17887e-01
    5176.02  1.07454e+00  4.91920e-01  1.18357e-01
    5180.65  9.58730e-01  5.54720e-01  1.18432e-01
    5185.27  9.26080e-01  6.14100e-01  1.18633e-01
    5189.90  1.08832e+00  7.62690e-01  1.18801e-01
    5194.53  9.69580e-01  8.46690e-01  1.18655e-01
    5199.16  1.03129e+00  8.60290e-01  1.18665e-01
    5203.80  9.16360e-01  8.92860e-01  1.19093e-01
    5208.43  1.09765e+00  6.82050e-01  1.18692e-01
    5213.06  1.08949e+00  5.82400e-01  1.18868e-01
    5217.70  9.83470e-01  6.22330e-01  1.18792e-01
    5222.34  9.91040e-01  5.93150e-01  1.19003e-01
    5226.97  9.75880e-01  6.38160e-01  1.18840e-01
    5231.61  9.24020e-01  6.28920e-01  1.18695e-01
    5236.25  9.63950e-01  5.96210e-01  1.18449e-01
    5240.89  8.52060e-01  6.19070e-01  1.18750e-01
    5245.53  9.12690e-01  6.30560e-01  1.21061e-01
    5250.17  9.50110e-01  6.40490e-01  1.18585e-01
    5254.82  1.12429e+00  5.86010e-01  1.18057e-01
    5259.46  1.37277e+00  5.92340e-01  1.17598e-01
    5264.10  1.29309e+00  6.04940e-01  1.17463e-01
